label,color,customdata
Accretion,tan,"['The build-up of sediments to form land or shoaling in coastal waters or waterways.', 'Impact']"
Algal bloom,mediumaquamarine,"['A sudden proliferation of algae that occurs near the surface of a body of water.', 'Impact']"
Algal dieback,palegreen,"['Loss of algae that occurs near the surface of a body of water.', 'Impact']"
Bare soil exposure,burlywood,"['Appearance of underlying soil after disturbance, such as grazing or construction.', 'Impact']"
Blackwater event,lightblue,"['A depletion of dissolved oxygen in water following inundation of organic material.', 'Impact']"
Browning,olivedrab,"['A decrease in the amount of photosynthetically active pigments in vegetation.', 'Impact']"
Building or infrastucture abandonment,gainsboro,"['Buildings dehabited or no longer in use.', 'Impact']"
Compaction,darkgrey,"['Increase in soil density or unit weight, accompanied by a decrease in air volume.', 'Impact']"
Coral bleaching,lightcoral,"['When coral expels its algae due to increased water temperatures, often leading to death.', 'Impact']"
Coral damage,tomato,"['Physical damage or loss of a coral reef not caused by temperature changes.', 'Impact']"
Coral recovery,mediumturquoise,"['Re-instatement of the previous extent or health of reef-building corals.', 'Impact']"
Crop change in cultivated lands,khaki,"['Replacement of one crop type by another in an area.', 'Impact']"
Crop damage,orange,"['Loss of or harm to crops during or following a disturbance like drought or flood.', 'Impact']"
Crop establishment,lawngreen,"['Planting of crops in an area on ploughed land.', 'Impact']"
Cropland gain,limegreen,"['Increase in total area sown or in cropping area.', 'Impact']"
Cropland loss,darkseagreen,"['Decrease in total cropping area or area sown.', 'Impact']"
Deglaciation,slategrey,"['The uncovering of glaciated land because of melting or sublimation of the glacier.', 'Impact']"
Desalinisation,lavender,"['Process of soils becoming less salty; reduction of soluble salts in water bodies.', 'Impact']"
Desertification,lightskyblue,"['Reduction in the productivity of the land that is not reversible.', 'Impact']"
Elevation change,sandybrown,"['Change in the altitude above sea or ground level.', 'Impact']"
Erosion,peru,"['Geological process wearing away earth materials by wind or water.', 'Impact']"
Flooding,sienna,"['Inundation of water over an area.', 'Impact']"
Geomorphological change,dodgerblue,"['A geomorphic adjustment that changes the geometry of landforms.', 'Impact']"
Glaciation,deepskyblue,"['Expansion of ice or glacier cover.', 'Impact']"
Greening,navy,"['An increase in the amount of photosynthetically active pigments in vegetation.', 'Impact']"
Increased sediment load,green,"['Increase in the amount of a substance discharged into a body of water.', 'Impact']"
Inundation,brown,"['Progressive submergence of land or structures through flooding.', 'Impact']"
Invasive or exotic species,aqua,"['An introduced species that becomes established and displaces local species.', 'Impact']"
Lava flow,gold,"['Molten rock that moves down the side of a volcano during an eruption.', 'Impact']"
Leaf scorch,yellowgreen,"['A non-infectious condition caused by unfavorable environmental situations.', 'Impact']"
Mine abandonment,silver,"['Land formerly used for extractive industry no longer in use or observed with a new use.', 'Impact']"
Mine construction,mistyrose,"['Setting up infrastructure for mining activities.', 'Impact']"
Mine expansion,oldlace,"['Enlargement of mining area and associated facilities or operations.', 'Impact']"
Natural surface gain,ivory,"['Increase in the area occupied by a natural surface like grasslands or forests.', 'Impact']"
Natural surface loss,snow,"['Decrease in area of naturally occurring surfaces.', 'Impact']"
Net snow gain (extent),azure,"['Progressive gain of snow extent.', 'Impact']"
Net snow gain (hydroperiod),honeydew,"['Increase in the residence time of snow cover.', 'Impact']"
Net snow loss (extent),beige,"['Loss of snow cover exposing the underlying surface.', 'Impact']"
Net snow loss (hydroperiod),peachpuff,"['Decrease in the residence time of snow cover.', 'Impact']"
Phenological change,cornflowerblue,"['Alteration in the timing of natural lifecycle events in plants and animals.', 'Impact']"
Railway or road abandonment,lightcyan,"['Transportation infrastructure no longer used or repurposed.', 'Impact']"
Railway or road construction,darkolivegreen,"['Building of linear structures for road or railroad transportation.', 'Impact']"
Receding flood,teal,"['Movement of water away from an area after flooding.', 'Impact']"
Salinisation,mediumseagreen,"['The process of soils or water bodies becoming more salty.', 'Impact']"
